year_month,currency,usd_value,proportion
2018-03,AUD,66.86516647410022,0.002679966441399349
2018-03,CAD,63.260700160602454,0.0025354988618103546
2018-03,EUR,770.0401400000001,0.030863330528457
2018-03,GBP,22.46355490833933,0.0009003428314532009
2018-03,HKD,15.15280177364575,0.0006073266902323017
2018-03,JPY,20125.340590741445,0.8066268320114134
2018-03,KRW,52.85240368769788,0.0021183326939773024
2018-03,NT$,31.405846736953613,0.0012587513014174327
2018-03,Other,438.1201989625694,0.017559926826379624
2018-03,USD,3364.5,0.13484969181345996
2018-04,AUD,20.723323347045874,0.001762226907496971
2018-04,CAD,89.17748612079946,0.007583289752963898
2018-04,EUR,247.00048,0.021003913548582238
2018-04,GBP,67.34029146729738,0.005726343771945076
2018-04,JPY,9111.646627445389,0.7748172718048719
2018-04,KRW,1.8686813952408232,0.00015890504534842313
2018-04,NT$,34.751509835014616,0.002955126679338244
2018-04,Other,320.38768141457604,0.027244461883079996
2018-04,USD,1866.8400000000001,0.15874846060637318
2018-05,AUD,118.13236730675413,0.000743277888957895
2018-05,CAD,89.74747645638911,0.000564682790674841
2018-05,EUR,130.57647400000002,0.0008215750530950076
2018-05,GBP,43.9271784889399,0.00027638572932643803
2018-05,HKD,697.4759502828852,0.004388453933027416
2018-05,JPY,153279.47134103725,0.9644202048631468
2018-05,KRW,211.46919264063342,0.0013305445295734267
2018-05,NT$,1101.4550425403143,0.006930252880444777
2018-05,Other,385.72693370968267,0.0024269580601686868
2018-05,USD,2876.34,0.018097664271584588
2018-06,AUD,227.36219244521826,0.0028860948169024347
2018-06,CAD,53.9570049624912,0.0006849205256293697
2018-06,EUR,659.1430549999999,0.008367043500827858
2018-06,GBP,38.63238887889292,0.0004903926026962318
2018-06,HKD,208.9996483769319,0.00265300398200739
2018-06,JPY,75961.7052555249,0.9642442371937622
2018-06,KRW,102.48657979312814,0.0013009462284028293
2018-06,NT$,499.12871945792904,0.0063358502779294204
2018-06,Other,81.27542333339969,0.0010316956196690184
2018-06,USD,945.8000000000001,0.012005815252173127
2018-07,AUD,31.084657774662666,0.0002207768774395231
2018-07,CAD,23.593618853181322,0.00016757223243903517
2018-07,EUR,159.34964100000002,0.0011317710626290076
2018-07,GBP,2.6094247861814526,1.8533279677153795e-05
2018-07,HKD,215.49338225178175,0.0015305285452172305
2018-07,JPY,138136.30625667915,0.9811046522518854
2018-07,KRW,144.68317005588983,0.00102760335129144
2018-07,NT$,473.0719472523504,0.0033599645225543145
2018-07,Other,33.96693704558337,0.00024124808937807705
2018-07,USD,1576.55,0.01119734978748877
2018-08,AUD,30.07281421082268,0.00019773369737199645
2018-08,CAD,189.98249233028892,0.001249166119973423
2018-08,EUR,489.74098000000004,0.00322012745635008
2018-08,GBP,57.94829681335831,0.0003810195781807333
2018-08,HKD,356.0397491450692,0.002341019883151359
2018-08,JPY,146714.59443733742,0.9646725781349499
2018-08,KRW,576.1467232135226,0.003788259422983133
2018-08,NT$,669.2997725780863,0.0044007560368086
2018-08,Other,65.47674942521563,0.00043052039177258794
2018-08,USD,2938.15,0.01931881927845815
2018-09,AUD,86.25874901191331,0.0005819937168225281
2018-09,CAD,280.27157982786474,0.0018910116403521306
2018-09,EUR,113.27112,0.000764248043156131
2018-09,GBP,193.2241420513655,0.0013036965861490412
2018-09,HKD,329.3034654714314,0.0022218331476820752
2018-09,JPY,144406.19559669268,0.9743185412521206
2018-09,KRW,346.70946323213764,0.0023392726126383653
2018-09,NT$,974.4607683618476,0.006574753876830758
2018-09,Other,203.7441487032074,0.001374675795127108
2018-09,USD,1279.07,0.008629973329121427
2018-10,AUD,172.41292103633137,0.0008985785465292876
2018-10,CAD,287.9546835217218,0.0015007570165273471
2018-10,EUR,618.210065,0.0032219760463336592
2018-10,GBP,301.01450002777347,0.0015688219322158542
2018-10,HKD,461.8000762947931,0.002406801293370854
2018-10,JPY,185301.91261829165,0.9657531599650494
2018-10,KRW,427.894950852278,0.0022300951732210283
2018-10,NT$,1310.6586329760391,0.006830866981062849
2018-10,Other,456.14656774868774,0.0023773364396834687
2018-10,USD,2534.95,0.01321160660600618
2018-11,AUD,96.65779254546804,0.0005743320217605904
2018-11,CAD,92.893619184967,0.0005519656378461536
2018-11,EUR,154.774954,0.0009196590353220335
2018-11,GBP,63.25498257166443,0.0003758554904895591
2018-11,HKD,299.2614117788258,0.0017781847395388322
2018-11,JPY,164106.47352146255,0.9751060958406039
2018-11,KRW,386.65088538967336,0.0022974452330567457
2018-11,NT$,870.2223909497503,0.00517078418628689
2018-11,Other,340.14891792430905,0.002021134670950079
2018-11,USD,1885.68,0.011204543144144962
2018-12,AUD,215.81001162178512,0.0006282093724022291
2018-12,CAD,860.3524359262899,0.002504431836856563
2018-12,EUR,609.923158,0.001775447957309165
2018-12,GBP,220.95440227492858,0.0006431843700833695
2018-12,HKD,1018.8935770662998,0.0029659351286966387
2018-12,JPY,329920.24153805914,0.9603770757523745
2018-12,KRW,668.952155995065,0.001947277658375123
2018-12,NT$,1736.7930818724456,0.0050556954413577505
2018-12,Other,1400.7029277214526,0.004077358137990261
2018-12,USD,6879.36,0.020025384344554396
2019-01,AUD,242.99982551698773,0.0007070927701073607
2019-01,CAD,356.97136972704385,0.0010387327403725587
2019-01,EUR,503.976127,0.0014664943686698104
2019-01,GBP,89.16240328071694,0.00025944911931957053
2019-01,HKD,709.0068744742274,0.002063102859561913
2019-01,JPY,334043.33532215597,0.9720156251401624
2019-01,KRW,641.0977694926149,0.0018654976264931215
2019-01,NT$,1191.9160539038346,0.003468295594440162
