Affiliation,currency,usd_value
Atelier Live,USD,36015.91
AuroraLiveVR,AUD,19.53684210526316
AuroraLiveVR,CAD,44.31590656284761
AuroraLiveVR,EUR,7.4368
AuroraLiveVR,GBP,35.51632045245523
AuroraLiveVR,HKD,20.495491939914036
AuroraLiveVR,JPY,48.19962313215686
AuroraLiveVR,KRW,85.59666876755401
AuroraLiveVR,NT$,104.52099719933145
AuroraLiveVR,Other,497.50534719367056
AuroraLiveVR,SGD,9.643323076923078
AuroraLiveVR,USD,185.96
Axel-V,AUD,1354.563339338391
Axel-V,CAD,430.40255934184717
Axel-V,EUR,185.113
Axel-V,GBP,170.81432975907748
Axel-V,HKD,2732.401035824476
Axel-V,JPY,67365.5716636368
Axel-V,KRW,382.569556297546
Axel-V,NT$,10130.459021738649
Axel-V,Other,697.0596286368251
Axel-V,SGD,71.63409618932434
Axel-V,USD,1155.96
BANs,HKD,24.117097872243537
BANs,JPY,172.49421052531113
Balus,AUD,368.07067056737213
Balus,CAD,103.09544391652263
Balus,EUR,53.921223
Balus,GBP,87.87850863650523
Balus,HKD,369.6115356281233
Balus,JPY,158603.0471295318
Balus,KRW,228.1993905659633
Balus,NT$,498.39877550102943
Balus,Other,270.8974325511009
Balus,SGD,234.82344237153728
Balus,USD,519.07
BitStar Akihabara Lab,JPY,8631.207368320594
BitStar Akihabara Lab,NT$,5.381938215349274
BitStar Akihabara Lab,Other,2.449530391359931
BitStar Akihabara Lab,USD,17.27
Brave Group,AUD,14.031579993036768
Brave Group,CAD,15.564843356900756
Brave Group,EUR,28.607842999999995
Brave Group,GBP,87.95560722369679
Brave Group,HKD,535.2219094054535
Brave Group,JPY,67317.01157239871
Brave Group,KRW,923.4573471399274
Brave Group,NT$,6061.721058578884
Brave Group,Other,144.44403168928616
Brave Group,SGD,795.4801249631047
Brave Group,USD,322.07000000000005
Buisen,AUD,1932.3417323770868
Buisen,CAD,7.850439445851333
Buisen,EUR,51.0108
Buisen,GBP,10.246670087212024
Buisen,HKD,33.152365744542756
Buisen,JPY,20610.577783126893
Buisen,KRW,5425.027492415936
Buisen,NT$,1187.4698734674762
Buisen,Other,177.02736629874846
Buisen,SGD,12.612957137698928
Buisen,USD,212.0
Chamomile Tea Party!,AUD,76.91701331876732
Chamomile Tea Party!,EUR,2.445
Chamomile Tea Party!,HKD,9.989311598746081
Chamomile Tea Party!,JPY,10069.306207912765
Chamomile Tea Party!,KRW,37.843045821732744
Chamomile Tea Party!,NT$,99.91694486890623
Chamomile Tea Party!,Other,203.4671439755767
Chamomile Tea Party!,SGD,103.83932032037693
Chamomile Tea Party!,USD,7.0
Chucolala,AUD,966.3290445014828
Chucolala,CAD,2069.2556026451557
Chucolala,EUR,387.080072
Chucolala,GBP,278.0731904728008
Chucolala,HKD,3687.17464841141
Chucolala,JPY,26683.76550544017
Chucolala,KRW,47.23189260488087
Chucolala,NT$,1067.307890374169
Chucolala,Other,1041.3623314340894
Chucolala,SGD,391.16852784203036
Chucolala,USD,14279.67
Circlemiran,JPY,616.1988255321813
Circlemiran,NT$,253.01936625801622
Cirque☆Live,CAD,17.948814118052205
Cirque☆Live,Other,9.757056408576055
Cirque☆Live,SGD,21.8776582278481
Cirque☆Live,USD,248.89999999999998
Cloud Horizon,AUD,27.47730816464645
Cloud Horizon,CAD,4.415137615232687
Cloud Horizon,GBP,215.08939259425176
Cloud Horizon,HKD,1387.2505754811186
Cloud Horizon,JPY,402.1761883576039
Cloud Horizon,KRW,1.5959750824259653
Cloud Horizon,NT$,55691.96284219958
Cloud Horizon,Other,404.8548930236316
Cloud Horizon,SGD,8.995326118355072
Cloud Horizon,USD,1725.93
CoCo Diversity Entertainment,EUR,23.900000000000002
CoCo Diversity Entertainment,JPY,1974.437921226406
CoCo Diversity Entertainment,NT$,222.43034599417769
CoCo Diversity Entertainment,Other,7.129955099422706
CoCo Diversity Entertainment,USD,35.0
Crescent Link Productions,AUD,13.852705251263774
Crescent Link Productions,EUR,63.4781
Crescent Link Productions,JPY,5.133115366651097
Crescent Link Productions,Other,505.1190466717824
Crescent Link Productions,USD,165.0
Crunchyroll,AUD,67.28983167206184
Crunchyroll,CAD,70.76986449286527
Crunchyroll,EUR,231.11693
Crunchyroll,GBP,1381.4712391016328
Crunchyroll,HKD,6.372840269030586
Crunchyroll,JPY,26.099966112701683
Crunchyroll,Other,540.7930931085102
Crunchyroll,SGD,5.901938520058782
Crunchyroll,USD,14353.87
Cyber V,AUD,26.809875654818732
Cyber V,CAD,149.0208593888635
Cyber V,EUR,37.5567
Cyber V,GBP,173.0817196865862
Cyber V,HKD,172.3492812642618
Cyber V,JPY,32702.808171236222
Cyber V,KRW,96.73392643842071
Cyber V,NT$,437.83572541588313
Cyber V,Other,85.86380285237398
Cyber V,SGD,10.324790575253017
Cyber V,USD,273.0
CyberLive,AUD,36.770131026586945
CyberLive,CAD,3.946115117703089
CyberLive,EUR,11.562
CyberLive,KRW,0.8495440957774406
CyberLive,Other,15.700617365988375
CyberLive,USD,89.97
Desune Live,Other,71.64966785623298
Desune Live,USD,20.0
Digikagi,JPY,20.55012197367181
Digikagi,NT$,14.472228444054137
Digikagi,Other,1036.3179711826554
Digikagi,USD,65.98
Direza Familiy,Other,16.3828432979409
Duskward,AUD,100.25600911309947
Duskward,CAD,843.9530748102511
Duskward,EUR,194.0995
Duskward,GBP,1047.4702647434071
Duskward,HKD,64.4940796555436
Duskward,JPY,92.14053957533999
Duskward,KRW,6.02572851802612
Duskward,NT$,92.01396153968399
Duskward,Other,206.20422660883614
Duskward,SGD,30.709623433917905
Duskward,USD,7933.56
EIEN Project,AUD,165.71698346996408
EIEN Project,CAD,93.88863105097685
EIEN Project,EUR,874.1887090000001
EIEN Project,GBP,1161.4730113221428
EIEN Project,JPY,42.49648711809385
EIEN Project,KRW,12.286321468577343
EIEN Project,Other,1946.6211984524339
EIEN Project,SGD,5.201527220842983
EIEN Project,USD,8616.970000000001
ENTUM,AUD,275.33223859607995
ENTUM,CAD,310.4909551028481
ENTUM,EUR,7774.542933000001
ENTUM,GBP,88.84828056438636
ENTUM,HKD,744.917347724381
ENTUM,JPY,74502.1241468544
ENTUM,KRW,1071.5398871606656
ENTUM,NT$,2311.734675081465
ENTUM,Other,724.7447651267128
ENTUM,SGD,109.95007474768832
ENTUM,USD,2223.25
Eilene Academy,EUR,439.57770000000005
Eilene Academy,GBP,16.190819485888
Eilene Academy,HKD,48.3164569140268
Eilene Academy,JPY,72390.16917819894
Eilene Academy,KRW,631.8272046000722
Eilene Academy,NT$,1034.6144108911644
Eilene Academy,Other,174.65022993283117
Eilene Academy,SGD,91.56942975463934
Eilene Academy,USD,53.99
Exys/Trys,AUD,8.367866129899044
Exys/Trys,JPY,5901.607913192405
Exys/Trys,KRW,11.608576501188098
Exys/Trys,NT$,4.615479455416727
Exys/Trys,Other,264.9841757193031
Exys/Trys,USD,435.0
Ferret Jogakuin,AUD,419.6151428736885
Ferret Jogakuin,CAD,3.7945566851113113
Ferret Jogakuin,EUR,5.601500000000001
Ferret Jogakuin,HKD,194.59359660978615
Ferret Jogakuin,JPY,5572.445115267539
Ferret Jogakuin,KRW,24.828105746314144
Ferret Jogakuin,NT$,1500.487026400747
Ferret Jogakuin,Other,25.57457249625437
Ferret Jogakuin,USD,483.92
FlaVR,AUD,56.23176702727093
FlaVR,CAD,114.43615034683512
FlaVR,EUR,20.446800000000003
FlaVR,GBP,68.92119185147264
FlaVR,Other,132.8760410284401
FlaVR,USD,2775.66
FruFru VTubers,Other,11.625109122653864
GEMS COMPANY,AUD,155.21002377651098
GEMS COMPANY,CAD,9.064313195259103
GEMS COMPANY,EUR,6.435
GEMS COMPANY,GBP,6.566828459808216
GEMS COMPANY,HKD,82.3284427366463
GEMS COMPANY,JPY,196009.91078011744
GEMS COMPANY,KRW,64.17203054764384
GEMS COMPANY,NT$,201.702600336385
GEMS COMPANY,Other,159.09675164105607
GEMS COMPANY,SGD,17.010620176778755
GEMS COMPANY,USD,509.49
GOOM STUDIO,AUD,56.611085966970855
GOOM STUDIO,CAD,2.1375464996125033
GOOM STUDIO,EUR,93.83789499999999
GOOM STUDIO,HKD,151.6360981843671
GOOM STUDIO,JPY,37945.21197316136
GOOM STUDIO,KRW,540.4248295419452
GOOM STUDIO,NT$,37.950774039489204
GOOM STUDIO,Other,20.326184676741104
GOOM STUDIO,USD,56.0
GhostCrown,CAD,7.462120834857348
GhostCrown,EUR,94.7149
GhostCrown,HKD,4.8761665885152725
GhostCrown,JPY,2880.5403919208807
GhostCrown,KRW,73.47462898421503
GhostCrown,NT$,14.048075874650317
GhostCrown,Other,127.79489173314533
GhostCrown,SGD,11.288107409004128
GhostCrown,USD,25.0
Guild CQ,AUD,55.61839607471387
Guild CQ,CAD,600.5153999843062
Guild CQ,EUR,111.669122
Guild CQ,GBP,16.30642165838314
Guild CQ,HKD,8837.28900537966
Guild CQ,JPY,11138.988072703729
Guild CQ,KRW,52.28075590899262
Guild CQ,NT$,55716.5649677646
Guild CQ,Other,186.9227492143307
Guild CQ,SGD,76.15475251104002
Guild CQ,USD,622.45
HAJITABI,AUD,10.722848819005398
HAJITABI,HKD,0.640963089875529
HAJITABI,JPY,1.5226255594231726
HAJITABI,Other,185.6325385375501
HAJITABI,SGD,21.39299349780924
HAJITABI,USD,5.0
HOLOSTARS,AUD,23356.207836444264
HOLOSTARS,CAD,23945.031319299604
HOLOSTARS,EUR,13873.505795000001
HOLOSTARS,GBP,11262.102026613085
HOLOSTARS,HKD,46827.2913612673
HOLOSTARS,JPY,1003388.4479572065
HOLOSTARS,KRW,21574.15021097002
HOLOSTARS,NT$,147613.80300635882
