,VTuber,Affiliation,total_income
123,Azashi,8THiR3AL Projekt,77.06546166366397
124,Azato_Stacia,Parabellum Project,212.76032251420415
125,Azuchi_Momo,NIJISANJI,10804.106043615826
126,Azuma_Lim,Cyber V,34165.38485251268
127,Azura_Cecillia,NIJISANJI,1804.9612481172717
128,Baacharu,.Live,27576.533561418306
129,BakenVT,Independent,1137.69088700019
130,Ban_Hada,NIJISANJI,18061.83280030854
131,Banzoin_Hakka,HOLOSTARS English,48528.98984247219
132,Beckoning_Kitty_Tatamaru,Independent,12215.730537218245
133,Beilene,ICETEA,199.13414417413605
134,Belmond_Banderas,NIJISANJI,269065.315805305
135,Bonnivier_Pranaja,NIJISANJI,19029.684650352807
136,Bunga,h!mawari Project,52.406294558303856
137,CIEL,KAMITSUBAKI STUDIO,13.811316367553493
138,Caerula_Aki,AKA Virtual,480.7159213629631
139,Cafeno_Zombi-ko,upd8,47179.60090751519
140,Camomi_Camomi,774 inc.,144414.1253530389
141,Carro_Pino,.live,172375.5895640196
142,Cecilia_Lieberia,Re:Memories,778.4074803260165
143,Celesse_Souris,Independent,262.2345811878687
144,Ceres_Fauna,hololive English,344276.44049650617
145,Cerys_Lobelia,Yume Reality,219.78040332522755
146,ChaAYM,North Side ESports,329.1424348997814
147,Chakra_Eisen,Samaveta Studios,2.0162982035174557
148,Chana,Independent,1534.4019197308435
149,Charlotte_Suzu,kawaii,25074.54014519876
150,Charlotte_Sylvilia,SNOWDROP,548.5472300115199
151,Cheri_Lupina,VReverie,2648.0672958719642
152,Chiem,Independent,6.381560743074423
153,Chikafuji_Lisa,Tsunderia,6669.112782128654
154,Chikuwa,VEEMusic,415.0410172970193
155,Chloe_Lua,Start UP,11034.572081613002
156,Chloe_Pawapua,Re:Memories,479.20257867129783
157,Chocohana_Mynthia,Independent,54.82872882375723
158,Cierra_Runis,Overidea,13207.612687796252
159,Cosmo_Ruru,Honey Studio,9821.7225886545
160,Cotonoha,VEE,3541.590713819827
161,Crunchyroll-Hime,Crunchyroll,16683.68570327686
162,CyanNyan,Independent,2675.4073293481365
163,DUSTCELL,KAMITSUBAKI STUDIO,3301.242913358825
164,Daem,Independent,161.40288135427474
165,Daimonji_Ryugon,VOMS Project,27175.995385609982
166,DarinV,VTory,261.6373140727919
167,Dasu,Yashin Live,59.64841205313295
168,Debidebi_Debiru,NIJISANJI,445159.2485204495
169,Dennou_Shojo_Siro,.live,260354.14134095228
170,Derem_Kado,NIJISANJI,6010.393370295687
171,Diana_Yeou,Crescent Link Productions,696.789731174028
172,Dola,NIJISANJI,257395.22361918693
173,Doppio_Dropscythe,NIJISANJI EN,50792.85138557022
174,Dosei,Virtunix,39.07492419317644
175,Draki_Kona,Pixela,1179.9081558734226
176,Ebisu_Touka,Masquerade,22355.749010665575
177,Eileennoir,Algorhythm Project,4850.475312180777
178,Eisei,Independent,197.8678048225978
179,El_XoX,Independent,599.2547226008594
180,Elaine,KoMETA,1424.5734277286383
181,Elaine_Celestia,Re:Memories,690.0916407912133
182,Eleki_Antares,Re:AcT,2843.3313945971354
183,Eli_Conifer,NIJISANJI,319674.89100460603
184,Elira_Pendora,NIJISANJI EN,283011.79173131037
185,Elu,NIJISANJI,258272.13132335313
186,Elyssia_Nikos,Independent,860.2143523954048
187,Ember_Amane,Phase-Connect,13179.935477509305
188,Emi_Suika,idol Corp,932.1586168140398
189,Emma%E2%98%85August,NIJISANJI,166157.4389813608
190,Emoco,Independent,154.1067393697274
191,Enji_Notokunchoro,ArkNet,1.3362730520931358
192,Enma_Ruri,LIVE UNION,11401.028363625443
193,Enna_Alouette,NIJISANJI EN,157338.94054828704
194,Enomiya_Milk,NoriPro,127395.93432694806
195,Erai_Amae,VEE,1517.97845498733
196,Erima,HAJITABI,17.872129620810412
197,Erispheria,Independent,59.11034823010134
198,Esme_Kingsleigh,MetanoiaLIVE,59.16308785499231
199,Etna_Crimson,NIJISANJI,2573.5637381811516
200,Evelyn,Re:Memories,1872.54867208041
201,Ex_Albio,NIJISANJI,317242.6081790929
202,Fairy_Ichika,Independent,14227.721889007658
203,Fairys_Chan,NIJISANJI,5371.1515899555
204,FalseEyeD,Things Vtubers Say,2601.3679531194716
205,Figaro,SODA_KIT,42172.46423282441
206,Finana_Ryugu,NIJISANJI EN,139436.7501203207
207,Fiona_Clearesta,Metanoia ID,78.62460094362609
208,Frederett,AKA Virtual,394.99022277041234
209,Fuji_Aoi,Smarprise,211846.2783156085
210,Fujikura_Uruka,Phase-Connect,36562.08953315982
211,Fujisaki_Yua,Exys/Trys,6626.184010998211
212,Fukuya_Master,upd8,7518.114579276833
213,Fulgur_Ovid,NIJISANJI EN,268025.8983816949
214,Fumi,NIJISANJI,143188.71278809622
215,Fumino_Tamaki,NIJISANJI,135979.3721433526
216,Fura_Kanato,NIJISANJI,141822.20855242162
217,Furen_E_Lustario,NIJISANJI,15356.482019066923
218,Fushimi_Gaku,NIJISANJI,541890.78014683
219,Futakuchi_Mana,Independent,15524.894619078888
220,Fuwa_Minato,NIJISANJI,1591493.8442746175
221,Fuwako_Yuni,Independent,4960.682690831215
222,Fuyo_Cloverfield,idol Corp,9253.685916810993
223,Game_Club_Project,Brave Group,24141.480853726698
224,Gaming_with_Mim,Independent,2154.7129861810877
225,Ganba_Ruuko,Independent,10427.46055829891
226,Gaon,NIJISANJI,24657.521160110442
227,Gavis_Bettel,HOLOSTARS English,118065.39197340976
228,Gawr_Gura,hololive English,951097.4425875194
229,Gema_Gathika,AKA Virtual,1410.4279279602379
230,Genesis,Independent,7.446
231,Gentiana_Helix,SNOWDROP,523.3011322502055
232,Genzuki_Tojiro,NIJISANJI,252040.18165627655
233,Gilzaren_III,NIJISANJI,10440.821395475157
234,Ginga_Alice,Balus,58376.01484861666
235,Girl_dm,Virtual Streamers Worldwide,627.1556777693856
236,Go!_Go!_Nippon!_Live_With_You!,MangaGamer,23906.45013241803
237,Go_Ria,LIVE.exe,13.516491181720578
238,Gokigen_Naname,Independent,4284.288281684773
239,Gosegu,ISEGYE IDOL,38.16072070395287
240,GreatMoonAroma,Independent,264.5543893278444
241,Gundo_Mirei,NIJISANJI,431144.20483153284
242,Gwelu_Os_Gar,NIJISANJI,73883.23932222908
243,HACHI,LIVE UNION,35548.452682658346
244,HORI_07,MyHolo TV,699.2994042662845
245,Ha_Yun,NIJISANJI,41373.484361222996
246,Hacka_Doll,Hacka Doll,1504.0140544777194
247,Haewon_The_Witch,Independent,497.72277184145713
248,Hakari_Kanna,Ferret Jogakuin,8230.85961607944
249,Hakase_Fuyuki,NIJISANJI,197743.54857681313
250,Hakos_Baelz,hololive English,343634.32027681154
251,Hakui_Koyori,hololive,928324.6625913444
252,Hakushika_Iori,Phase-Connect,19104.955960037492
253,Hakuya,Independent,5018.011088411886
254,Han_Chiho,NIJISANJI,7544.11903075796
255,Hana_Evangeline,h!mawari Project,29.963171384871913
256,Hana_Macchia,NIJISANJI,51877.37545986663
257,Hanabasami_Kyo,Re:AcT,22049.59074147871
258,Hanabatake_Chaika,NIJISANJI,455714.4885645148
259,Hanabi_Lafy,Pixela,123.92898766900484
260,Hanabishi_Nadeshiko,GEMS COMPANY,11256.993203417336
261,Hanabusa_Lisa,Virtual eSports Project,105575.73153012242
262,Hanachi,MagicaLumina,123.74081376333831
263,Hanakumo_Rin,Propro Production,39903.3963992762
264,Hanamaru_Hareru,Hanayori Girls' Dormitory,55653.4314289831
265,Hanami_Arisa,Independent,1083.1084856733398
266,Hanamori_Healthy,Melty+,28430.287332151896
267,Hanasaki_Miyabi,HOLOSTARS,91198.5819907749
268,Hanazono_Serena,NHOT BOT,15461.936391480574
269,Haneuzu_Miuneru,VOMS Project,39162.776450611535
270,Haniel,Crescent Link Productions,55.79323611566929
271,Hannah_Banana,Independent,2088.3644651016516
272,Harusaki_Air,NIJISANJI,150522.34626307403
273,Harusaki_Nodoka,hololive,29653.79993968781
274,Harusaruhi,KAMITSUBAKI STUDIO,712.3671645411549
275,Hase_Mikoto,GEMS COMPANY,22264.50111221286
276,Hayama_Marin,NIJISANJI,78826.85391949792
277,Hayase_Sou,NIJISANJI,98944.05236780578
278,Hayate_Takanashi,Independent,5195.849969739469
279,Hellbent,Planet Dolan,58694.0106818303
280,Henya_the_Genius,VShojo,4.161174420435552
281,Hex_Haywire,NIJISANJI EN,223065.5724398015
282,Hibiki_Ao,upd8,33572.09460563442
283,Hibiki_Du_Ca,NIJIGEN Project,1456.6190808911122
284,Hibiki_Yui,Stellar Cycle Campus,18598.694212883158
285,Hibinwa,Independent,2.203
286,Hien_Madoka,Megalight Production,43114.60867641002
287,Higuchi_Kaede,NIJISANJI,236552.2294709653
288,Hiiragi_Emuri,Mythic Live,21926.610065912515
289,Hikasa_Tomoshika,VOMS Project,77194.74787147602
290,Himea_D%27Almaria,WACTOR,21868.64158396338
291,Himekuma_Ribon,Re:AcT,68571.79458015432
292,Himemiya_Rie,Phase-Connect,14350.659538532098
293,Himemori_Luna,hololive,370192.7263998808
294,Himesaki_Yuzuru,NoriPro,629.0723776682214
295,Himukai_Kogane,VOICE-ORE,4742.162764140454
296,Hina_Misora,WACTOR,51709.12945690026
297,Hinabe_HongFei,Pixela,193.3011754508079
298,Hinagawa_Kyomi,WE Liver's,77.8621985123432
299,Hinahoshi_Airu,VEE,3512.460408065501
300,Hinokami_Hikone,Axel-V,16453.73904081487
301,Hinokuma_Ran,774 inc.,74397.95517539079
302,Hinotori_Mera,Propro Production,26909.15248561172
303,Hira_Hikari,774 inc.,47355.17351856545
304,Hiraya,Independent,3073.2444599040427
305,Hiseki_Erio,NHOT BOT,8116.517170922191
306,Hitomi_Cocco,CoCo Diversity Entertainment,2262.8982223200064
